Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR32661028	SRX27964823	BGISEQ	K_2581108_LON	PAIRED	SRS23549812	Phascolarctos cinereus	K_2581108
SRR32661027	SRX27964824	BGISEQ	K_2581109_LON	PAIRED	SRS23549813	Phascolarctos cinereus	K_2581109
SRR32661026	SRX27964825	BGISEQ	K_2581110_LON	PAIRED	SRS23549814	Phascolarctos cinereus	K_2581110
SRR32661025	SRX27964826	BGISEQ	K_2581111_LON	PAIRED	SRS23549815	Phascolarctos cinereus	K_2581111
SRR32661024	SRX27964827	BGISEQ	K_2581112_LON	PAIRED	SRS23549816	Phascolarctos cinereus	K_2581112
SRR32661023	SRX27964828	BGISEQ	K_2581113_LON	PAIRED	SRS23549817	Phascolarctos cinereus	K_2581113
SRR32661022	SRX27964829	BGISEQ	K_2581114_LON	PAIRED	SRS23549818	Phascolarctos cinereus	K_2581114
SRR32661021	SRX27964830	BGISEQ	K_2581115_LON	PAIRED	SRS23549819	Phascolarctos cinereus	K_2581115
SRR32661020	SRX27964831	BGISEQ	K_42903_NY	PAIRED	SRS23549820	Phascolarctos cinereus	K_4
SRR32661019	SRX27964832	BGISEQ	K_449217_LON	PAIRED	SRS23549821	Phascolarctos cinereus	K_449217
SRR32661018	SRX27964833	BGISEQ	K_1015_OSL	PAIRED	SRS23549822	Phascolarctos cinereus	K_1015_OSL
SRR32661017	SRX27964834	BGISEQ	K_4_GER	PAIRED	SRS23549823	Phascolarctos cinereus	K_551224215
SRR32661016	SRX27964835	BGISEQ	K_551224215_LON	PAIRED	SRS23549824	Phascolarctos cinereus	K_5593.W1
SRR32661015	SRX27964836	BGISEQ	K_5593.W1_SCOT	PAIRED	SRS23549825	Phascolarctos cinereus	K_582119
SRR32661014	SRX27964837	BGISEQ	K_582119_GER	PAIRED	SRS23549826	Phascolarctos cinereus	K_582601
SRR32661013	SRX27964838	BGISEQ	K_582119_STO	PAIRED	SRS23549827	Phascolarctos cinereus	K_59714
SRR32661012	SRX27964839	BGISEQ	K_582601_STO	PAIRED	SRS23549828	Phascolarctos cinereus	K_640803
SRR32661011	SRX27964840	BGISEQ	K_59714_LON	PAIRED	SRS23549829	Phascolarctos cinereus	K_786
SRR32661010	SRX27964841	BGISEQ	K_640803_STO	PAIRED	SRS23549830	Phascolarctos cinereus	K_J6480
SRR32661009	SRX27964842	BGISEQ	K_65607_NY	PAIRED	SRS23549831	Phascolarctos cinereus	K_J7209
SRR32661008	SRX27964843	BGISEQ	K_65608_NY	PAIRED	SRS23549832	Phascolarctos cinereus	K_JM1875
SRR32661007	SRX27964844	BGISEQ	K_159224_GER	PAIRED	SRS23549833	Phascolarctos cinereus	K_159224
SRR32661006	SRX27964845	BGISEQ	K_65609_NY	PAIRED	SRS23549834	Phascolarctos cinereus	K_JM64
SRR32661005	SRX27964846	BGISEQ	K_65612_NY	PAIRED	SRS23549835	Phascolarctos cinereus	K_N65609
SRR32661004	SRX27964847	BGISEQ	K_786_GER	PAIRED	SRS23549836	Phascolarctos cinereus	K_NY42903
SRR32661003	SRX27964848	BGISEQ	K_J6480_GER	PAIRED	SRS23549837	Phascolarctos cinereus	K_NY65607
SRR32661002	SRX27964849	BGISEQ	K_J7209_GER	PAIRED	SRS23549838	Phascolarctos cinereus	K_NY65608
SRR32661001	SRX27964850	BGISEQ	K_JM1875_GER	PAIRED	SRS23549839	Phascolarctos cinereus	K_NY65612
SRR32661000	SRX27964851	BGISEQ	K_JM64_GER	PAIRED	SRS23549840	Phascolarctos cinereus	K_ST582119
SRR32660999	SRX27964852	BGISEQ	WGM043_1368	PAIRED	SRS23549841	Phascolarctos cinereus	WGM043_1368
SRR32660998	SRX27964853	BGISEQ	WGM043_309	PAIRED	SRS23549842	Phascolarctos cinereus	WGM043_309
SRR32660997	SRX27964854	BGISEQ	WGM043_310	PAIRED	SRS23549843	Phascolarctos cinereus	WGM043_310
SRR32660996	SRX27964855	BGISEQ	K_1712121_LON	PAIRED	SRS23549844	Phascolarctos cinereus	K_1712121
SRR32660995	SRX27964856	BGISEQ	WGM043_326	PAIRED	SRS23549845	Phascolarctos cinereus	WGM043_326
SRR32660994	SRX27964857	BGISEQ	WGM043_327	PAIRED	SRS23549846	Phascolarctos cinereus	WGM043_327
SRR32660993	SRX27964858	BGISEQ	WGM043_330	PAIRED	SRS23549847	Phascolarctos cinereus	WGM043_330
SRR32660992	SRX27964859	BGISEQ	WGM043_331	PAIRED	SRS23549848	Phascolarctos cinereus	WGM043_331
SRR32660991	SRX27964860	BGISEQ	WGM043_384	PAIRED	SRS23549849	Phascolarctos cinereus	WGM043_384
SRR32660990	SRX27964861	BGISEQ	WGM043_410	PAIRED	SRS23549850	Phascolarctos cinereus	WGM043_410
SRR32660989	SRX27964862	BGISEQ	WGM043_461	PAIRED	SRS23549851	Phascolarctos cinereus	WGM043_461
SRR32660988	SRX27964863	BGISEQ	WGM043_462	PAIRED	SRS23549852	Phascolarctos cinereus	WGM043_462
SRR32660987	SRX27964864	BGISEQ	WGM043_464	PAIRED	SRS23549853	Phascolarctos cinereus	WGM043_464
SRR32660986	SRX27964865	BGISEQ	WGM043_465	PAIRED	SRS23549854	Phascolarctos cinereus	WGM043_465
SRR32660985	SRX27964866	BGISEQ	K_1739_GER	PAIRED	SRS23549855	Phascolarctos cinereus	K_1739
SRR32660984	SRX27964867	BGISEQ	WGM043_467	PAIRED	SRS23549856	Phascolarctos cinereus	WGM043_467
SRR32660983	SRX27964868	BGISEQ	WGM043_502	PAIRED	SRS23549857	Phascolarctos cinereus	WGM043_502
SRR32660982	SRX27964869	BGISEQ	WGM043_503	PAIRED	SRS23549858	Phascolarctos cinereus	WGM043_503
SRR32660981	SRX27964870	BGISEQ	WGM043_506	PAIRED	SRS23549859	Phascolarctos cinereus	WGM043_506
SRR32660980	SRX27964871	BGISEQ	WGM043_721	PAIRED	SRS23549860	Phascolarctos cinereus	WGM043_721
SRR32660979	SRX27964872	BGISEQ	WGM043_723	PAIRED	SRS23549861	Phascolarctos cinereus	WGM043_723
SRR32660978	SRX27964873	BGISEQ	WGM043_738	PAIRED	SRS23549862	Phascolarctos cinereus	WGM043_738
SRR32660977	SRX27964874	BGISEQ	WGM043_739	PAIRED	SRS23549863	Phascolarctos cinereus	WGM043_739
SRR32660976	SRX27964875	BGISEQ	WGM043_869	PAIRED	SRS23549864	Phascolarctos cinereus	WGM043_869
SRR32660975	SRX27964876	BGISEQ	WGM043_875	PAIRED	SRS23549865	Phascolarctos cinereus	WGM043_875
SRR32660974	SRX27964877	BGISEQ	K_1868.2_SCOT	PAIRED	SRS23549866	Phascolarctos cinereus	K_1868.2
SRR32660973	SRX27964878	BGISEQ	WGM043_877	PAIRED	SRS23549867	Phascolarctos cinereus	WGM043_877
SRR32660972	SRX27964879	BGISEQ	WGM043_886	PAIRED	SRS23549868	Phascolarctos cinereus	WGM043_886
SRR32660971	SRX27964880	BGISEQ	K_22122917_LON	PAIRED	SRS23549869	Phascolarctos cinereus	K_22122917
SRR32660970	SRX27964881	BGISEQ	K_2510822_LON	PAIRED	SRS23549870	Phascolarctos cinereus	K_2510822
SRR32660969	SRX27964882	BGISEQ	K_2581107_LON	PAIRED	SRS23549871	Phascolarctos cinereus	K_2581107
SRR32661030	SRX27964821	BGISEQ	K_1012_OSL	PAIRED	SRS23549810	Phascolarctos cinereus	K_1012_OSL
SRR32661029	SRX27964822	BGISEQ	K_1013_OSL	PAIRED	SRS23549811	Phascolarctos cinereus	K_1013_OSL
SRR31728583	SRX27090861	BGISEQ	PC_2581110	SINGLE	SRS23549814	Phascolarctos cinereus	K_2581110
SRR31752540	SRX27090861	BGISEQ	PC_2581110	SINGLE	SRS23549814	Phascolarctos cinereus	K_2581110
SRR31728582	SRX27090862	BGISEQ	PC_2581111	SINGLE	SRS23549815	Phascolarctos cinereus	K_2581111
SRR31728581	SRX27090863	BGISEQ	PC_2581112	SINGLE	SRS23549816	Phascolarctos cinereus	K_2581112
SRR31728580	SRX27090864	BGISEQ	PC_2581113	SINGLE	SRS23549817	Phascolarctos cinereus	K_2581113
SRR31728579	SRX27090865	BGISEQ	PC_2581114	SINGLE	SRS23549818	Phascolarctos cinereus	K_2581114
SRR31728578	SRX27090866	BGISEQ	PC_2581115	SINGLE	SRS23549819	Phascolarctos cinereus	K_2581115
SRR31728577	SRX27090867	BGISEQ	PC_4	SINGLE	SRS23549820	Phascolarctos cinereus	K_4
SRR31728576	SRX27090868	BGISEQ	PC_449217	SINGLE	SRS23549821	Phascolarctos cinereus	K_449217
