#Ajustar de acuerdo a tus datos
# sample_id	r1	r2
SRR7693915	SRR7693915_1.fastq.gz	SRR7693915_2.fastq.gz
SRR7693916	SRR7693916_1.fastq.gz	SRR7693916_2.fastq.gz
SRR7693917	SRR7693917_1.fastq.gz	SRR7693917_2.fastq.gz
SRR7696192	SRR7696192_1.fastq.gz	SRR7696192_2.fastq.gz
SRR7696193	SRR7696193_1.fastq.gz	SRR7696193_2.fastq.gz
SRR7696194	SRR7696194_1.fastq.gz	SRR7696194_2.fastq.gz
SRR7696200	SRR7696200_1.fastq.gz	SRR7696200_2.fastq.gz
SRR7696201	SRR7696201_1.fastq.gz	SRR7696201_2.fastq.gz
SRR7696202	SRR7696202_1.fastq.gz	SRR7696202_2.fastq.gz
SRR7696204	SRR7696204_1.fastq.gz	SRR7696204_2.fastq.gz
SRR7696205	SRR7696205_1.fastq.gz	SRR7696205_2.fastq.gz
SRR7696206	SRR7696206_1.fastq.gz	SRR7696206_2.fastq.gz
SRR7696589	SRR7696589_1.fastq.gz	SRR7696589_2.fastq.gz
SRR7696590	SRR7696590_1.fastq.gz	SRR7696590_2.fastq.gz
SRR7696591	SRR7696591_1.fastq.gz	SRR7696591_2.fastq.gz
SRR7696208	SRR7696208.fastq.gz	
SRR7696209	SRR7696209.fastq.gz	
SRR7696210	SRR7696210.fastq.gz	

