## emapper-2.1.13	
## /usr/local/bin/emapper.py -i /inputs/GCA_000499845.2_P._vulgaris_v2.0_protein.faa --itype proteins -o /outputs/pvul_eggnog -m diamond --cpu 12 --data_dir /eggnog_db	
##	
#query	KEGG_ko
ESW03268.1	ko:K01738,ko:K14831
ESW03269.1	ko:K07428,ko:K10717,ko:K20660
ESW03270.1	-
ESW03271.1	-
ESW03274.1	-
ESW03277.1	-
ESW03278.1	-
ESW03281.1	-
ESW03282.1	-
ESW03283.1	ko:K10638
ESW03284.1	ko:K15865
ESW03285.1	ko:K15865
ESW03286.1	-
ESW03287.1	-
ESW03288.1	-
ESW03289.1	ko:K14638
ESW03290.1	ko:K14638
ESW03291.1	ko:K19996
ESW03292.1	ko:K19996
ESW03293.1	-
ESW03294.1	-
ESW03295.1	-
ESW03296.1	-
ESW03297.1	-
ESW03298.1	-
ESW03299.1	ko:K02881
ESW03300.1	ko:K15192
ESW03301.1	ko:K15192
ESW03302.1	ko:K15192
ESW03303.1	ko:K00939
ESW03304.1	-
ESW03305.1	-
ESW03306.1	-
ESW03307.1	ko:K01514
ESW03308.1	ko:K01514
ESW03309.1	-
ESW03310.1	-
ESW03311.1	-
ESW03313.1	-
ESW03314.1	-
ESW03315.1	ko:K20855
ESW03316.1	-
ESW03317.1	-
ESW03318.1	-
ESW03319.1	-
ESW03320.1	ko:K05019
ESW03322.1	-
ESW03323.1	ko:K03104
ESW03324.1	ko:K08789
ESW03325.1	ko:K02133,ko:K13800
ESW03326.1	ko:K13800
ESW03327.1	ko:K01051
ESW03328.1	-
ESW03329.1	-
ESW03330.1	-
ESW03331.1	ko:K01179
ESW03332.1	ko:K01179
ESW03333.1	ko:K01179
ESW03334.1	ko:K01179
ESW03335.1	-
ESW03336.1	ko:K09260
ESW03337.1	ko:K01193
ESW03338.1	ko:K01087
ESW03339.1	ko:K01087
ESW03340.1	-
ESW03341.1	ko:K12178
ESW03342.1	-
ESW03343.1	-
ESW03344.1	ko:K08343
ESW03345.1	ko:K08343
ESW03346.1	-
ESW03347.1	ko:K13095
ESW03348.1	ko:K03026
ESW03351.1	-
ESW03352.1	ko:K06316
ESW03353.1	-
ESW03357.1	ko:K10268
ESW03358.1	-
ESW03359.1	ko:K00002,ko:K22374
ESW03363.1	-
ESW03365.1	-
ESW03366.1	ko:K14491
ESW03367.1	ko:K11096
ESW03368.1	-
ESW03369.1	-
ESW03370.1	-
ESW03372.1	ko:K22390
ESW03373.1	ko:K22390
ESW03376.1	ko:K16615
ESW03380.1	-
ESW03381.1	-
ESW03382.1	-
ESW03383.1	-
ESW03384.1	-
ESW03385.1	ko:K05539
ESW03386.2	-
ESW03387.1	-
ESW03388.1	-
ESW03389.1	ko:K03008
ESW03390.1	-
ESW03392.1	ko:K14005
ESW03393.1	-
ESW03394.1	ko:K16297
ESW03395.1	ko:K08337
ESW03396.1	-
ESW03397.2	-
ESW03398.1	-
ESW03401.1	-
ESW03402.1	ko:K15100
ESW03405.1	ko:K02863
ESW03406.1	-
ESW03407.1	-
ESW03408.1	ko:K15437
ESW03409.1	ko:K00559
ESW03411.1	ko:K00559
ESW03412.1	ko:K12524
ESW03413.1	ko:K12524
ESW03415.1	-
ESW03417.1	-
ESW03418.1	-
